payment_id,order_id,payment_method,amount,payment_date
41,41,Credit Card,4728.24,2025-08-12 19:43:56.832053
42,42,Google Pay,3539.25,2026-03-23 03:24:29.141802
43,43,Apple Pay,10288.5,2026-03-26 09:40:31.432988
44,44,PayPal,12380.77,2025-08-03 18:30:50.395278
45,45,Debit Card,8687.86,2025-11-20 22:47:31.487561
46,46,Debit Card,2958.48,2025-12-03 07:12:53.288428
47,47,Debit Card,11009.9,2026-07-07 06:37:23.132446
48,48,Debit Card,11717.01,2026-01-30 15:10:58.170726
49,49,Debit Card,10123.35,2026-03-12 14:28:08.923809
50,50,Google Pay,17020.97,2026-07-21 17:07:34.678286
51,51,Google Pay,5590.83,2026-01-01 14:38:07.644716
52,52,Apple Pay,6672.4,2026-05-13 15:56:24.348784
53,53,PayPal,263.1,2026-07-30 07:34:53.490377
54,54,Credit Card,9706.77,2025-09-27 03:57:46.856834
55,55,Debit Card,2411.16,2026-03-12 08:58:12.489549
56,56,Apple Pay,8462.66,2026-03-22 08:48:49.569621
57,57,PayPal,1866.43,2026-07-20 03:51:52.612796
58,58,Credit Card,7301.1,2026-02-06 18:53:28.325817
59,59,Apple Pay,9192.93,2026-07-20 03:58:09.327799
60,60,Credit Card,5138.08,2025-11-06 09:06:25.409941
61,61,Debit Card,6942.85,2026-04-07 06:16:57.931393
62,62,PayPal,5879.47,2026-07-30 23:28:25.408813
63,63,Google Pay,7233.48,2026-04-17 17:33:58.662037
64,64,PayPal,4955.81,2025-08-30 14:12:18.449232
65,65,PayPal,7401.18,2026-01-08 18:04:48.023416
66,66,PayPal,8008.79,2025-10-07 11:25:26.154626
67,67,Debit Card,13870.19,2025-12-22 03:25:05.956457
68,68,Apple Pay,6578.89,2025-08-21 08:20:13.177997
69,69,Google Pay,7704.03,2025-11-29 02:55:09.236341
70,70,PayPal,8411.33,2025-12-01 03:49:41.068901
71,71,PayPal,2197.2,2025-08-02 21:35:10.617884
72,72,PayPal,12473.88,2025-12-08 08:33:41.229011
73,73,Google Pay,20793.52,2026-04-01 22:45:09.817227
74,74,Apple Pay,7266.19,2026-02-02 03:02:00.693383
75,75,PayPal,14687.97,2026-05-27 04:43:58.959273
76,76,Apple Pay,4632.21,2026-07-03 09:28:02.904361
77,77,Apple Pay,5097.09,2025-09-29 12:30:53.149094
78,78,Debit Card,2411.16,2026-03-30 15:36:50.546626
79,79,PayPal,11951.12,2025-09-08 12:27:12.108457
80,80,Apple Pay,6893.74,2025-12-07 16:37:16.696844
81,81,Credit Card,3924.51,2025-11-07 04:37:30.213829
82,82,Debit Card,9744.24,2026-07-08 19:54:30.067887
83,83,Credit Card,3754.77,2026-01-03 18:28:53.291524
84,84,Debit Card,11556.19,2026-03-04 20:19:21.007093
85,85,Apple Pay,10431.49,2025-12-03 05:24:29.308100
86,86,Credit Card,1994.42,2026-03-07 21:56:41.325487
87,87,Credit Card,12065.41,2025-08-12 05:49:15.039977
88,88,PayPal,6534.33,2026-01-16 00:37:04.426160
89,89,PayPal,8816.23,2025-09-26 12:08:42.538145
90,90,PayPal,17091.57,2025-09-14 10:11:03.542187
91,91,Google Pay,8922.08,2025-08-21 00:33:50.693362
92,92,Debit Card,10309.01,2025-08-25 05:42:33.396854
93,93,Apple Pay,12203.06,2025-10-14 18:18:13.677205
94,94,Debit Card,5081.46,2025-10-28 20:28:08.475241
95,95,Credit Card,18856.24,2025-11-23 02:09:00.881052
96,96,Google Pay,2411.16,2026-02-11 12:51:19.266178
97,97,PayPal,12481.16,2026-07-01 20:43:58.647376
98,98,Google Pay,2800.7,2025-08-20 06:23:05.383822
99,99,Apple Pay,2402.91,2025-10-12 06:54:43.428766
100,100,Apple Pay,15086.5,2026-07-26 09:47:46.495121
101,101,Debit Card,6096.02,2026-08-01 22:03:23.156329
102,102,Debit Card,15813.59,2026-02-27 18:12:17.420630
103,103,PayPal,118.33,2026-06-21 22:44:29.899561
104,104,Google Pay,6141.85,2025-09-11 06:31:08.833284
105,105,Debit Card,5506.49,2026-03-28 21:33:44.092160
106,106,Debit Card,1447.41,2026-02-26 08:08:45.933361
107,107,Google Pay,2151.82,2026-07-24 06:04:25.515931
108,108,Credit Card,6266.37,2025-12-15 18:41:11.138808
109,109,PayPal,271.86,2026-06-10 11:15:51.163383
110,110,Credit Card,5846.97,2026-07-15 14:56:00.192367
111,111,Credit Card,5896.88,2025-12-10 01:39:33.606249
112,112,Debit Card,7807.08,2026-06-22 14:33:13.512961
113,113,Debit Card,5100.51,2025-11-04 12:37:07.238225
114,114,Credit Card,3539.25,2026-04-18 15:39:02.180299
115,115,Google Pay,13494.87,2026-06-01 02:03:25.617903
116,116,Google Pay,236.66,2025-12-28 10:39:58.867138
117,117,Apple Pay,2616.34,2025-12-05 21:16:12.847187
118,118,PayPal,12987.75,2025-12-09 16:11:44.165305
119,119,Apple Pay,9355.1,2025-10-31 06:14:38.459084
120,120,PayPal,13512.95,2025-09-01 01:45:39.093028
121,121,Google Pay,12085.35,2025-09-17 10:14:12.038344
122,122,Credit Card,5535.46,2026-04-04 22:17:07.344785
123,123,Apple Pay,5268.28,2025-11-22 16:52:22.374854
124,124,Google Pay,13535.3,2026-06-09 21:09:33.118564
125,125,Debit Card,8224.1,2026-03-09 11:39:56.463391
126,126,Google Pay,3613.17,2026-06-04 03:09:49.060006
127,127,Credit Card,2411.43,2026-02-02 14:29:13.640351
128,128,PayPal,1440.26,2026-06-11 19:38:07.218413
129,129,Credit Card,2197.2,2025-08-13 15:47:29.430173
130,130,Apple Pay,12728.68,2026-06-01 05:15:23.206224
131,131,Credit Card,10405.46,2026-07-22 14:03:29.991024
132,132,Google Pay,3906.63,2025-08-19 05:32:05.678657
133,133,Apple Pay,1843.66,2025-10-18 23:33:18.955770
134,134,Debit Card,7238.73,2025-11-08 16:18:05.722875
135,135,PayPal,12969.97,2025-08-13 19:23:29.110139
136,136,Google Pay,7597.29,2026-02-06 09:26:53.270242
137,137,Debit Card,11587.92,2026-07-01 18:51:30.193228
138,138,Apple Pay,11369.47,2026-03-01 01:38:55.208287
139,139,Google Pay,4604.74,2026-05-23 09:24:46.468832
140,140,PayPal,6736.11,2026-02-09 09:26:21.513960
141,141,PayPal,5275.09,2026-01-22 03:21:02.144930
142,142,Debit Card,5039.96,2025-10-03 16:15:25.846060
143,143,Apple Pay,5136.02,2025-09-02 18:15:09.928315
144,144,Google Pay,16568.59,2026-01-25 04:07:09.017931
145,145,Debit Card,4926.95,2025-11-22 23:12:30.035846
146,146,Credit Card,15873.66,2026-06-29 11:30:07.891110
147,147,PayPal,9582.77,2025-10-27 07:26:22.211145
148,148,Credit Card,17404.92,2025-12-09 10:02:38.020413
149,149,Apple Pay,8343.48,2026-02-01 23:58:10.429687
150,150,Google Pay,4936.21,2026-01-17 15:18:24.493407
151,151,PayPal,10116.47,2025-08-20 11:43:10.108943
152,152,Credit Card,6723.19,2026-04-04 08:05:20.566916
153,153,PayPal,15363.92,2026-05-25 00:49:08.825879
154,154,Google Pay,3404.99,2025-12-12 17:07:33.531911
155,155,Debit Card,13615.06,2025-11-22 14:23:55.430956
156,156,Credit Card,615.62,2025-08-08 00:03:41.745501
157,157,Apple Pay,6367.42,2026-04-09 09:46:13.705699
158,158,Apple Pay,16818.63,2026-08-01 23:14:05.830390
159,159,Apple Pay,3539.25,2026-03-31 01:46:54.378544
160,160,Debit Card,1174.24,2025-09-26 11:06:24.902756
161,161,Credit Card,5513.0,2026-03-18 04:23:49.795092
162,162,Debit Card,3444.12,2025-10-20 00:42:39.100730
163,163,Google Pay,4059.08,2025-09-25 00:10:37.152244
164,164,Apple Pay,11791.16,2026-01-11 21:24:48.023408
165,165,Debit Card,8849.79,2026-06-03 05:28:45.372367
166,166,Credit Card,2735.64,2025-08-03 04:32:36.290760
167,167,Apple Pay,1992.51,2026-07-27 02:06:21.028689
168,168,PayPal,2802.72,2026-07-28 18:11:44.588087
169,169,Debit Card,14375.27,2026-06-24 06:45:17.147384
170,170,Credit Card,6179.52,2026-05-19 16:16:43.653948
171,171,Debit Card,1516.8,2026-02-08 06:40:54.590696
172,172,PayPal,31.92,2026-02-22 12:51:59.626537
173,173,Debit Card,4225.33,2026-05-10 17:14:02.912908
174,174,Apple Pay,7321.04,2026-06-01 12:30:55.583358
175,175,Credit Card,2348.48,2025-11-20 12:55:38.494323
176,176,PayPal,6534.06,2026-05-15 15:16:05.550721
177,177,Google Pay,1464.8,2026-07-05 14:48:31.979322
178,178,Credit Card,8774.28,2026-04-07 17:27:23.219835
179,179,Credit Card,4735.0,2025-08-07 22:40:14.229999
180,180,Apple Pay,15808.86,2026-07-09 22:30:07.773083
181,181,Credit Card,6367.08,2026-03-28 18:03:02.167178
182,182,Credit Card,9732.2,2025-09-30 14:47:09.747406
183,183,Apple Pay,9676.8,2025-11-28 08:50:55.570071
184,184,Credit Card,11498.62,2025-12-05 03:19:35.075583
185,185,Credit Card,819.71,2026-06-22 09:26:36.014258
186,186,Credit Card,6466.78,2025-08-30 00:29:41.147366
187,187,Debit Card,1778.73,2025-09-21 12:10:16.997153
188,188,PayPal,1407.41,2025-11-27 03:00:04.250931
189,189,Google Pay,964.94,2025-08-18 05:41:41.748553
190,190,Credit Card,15502.31,2026-05-08 21:49:02.231337
191,191,Google Pay,1959.84,2025-11-15 06:27:53.273028
192,192,PayPal,6575.49,2025-12-09 20:05:10.602468
193,193,Apple Pay,12029.87,2026-04-10 08:55:53.805343
194,194,Credit Card,11003.92,2025-12-25 22:10:47.555386
195,195,Apple Pay,4293.26,2026-05-24 19:44:08.215645
196,196,Google Pay,1094.46,2026-03-21 13:43:30.418671
197,197,PayPal,5763.33,2025-12-14 11:03:57.414579
198,198,Google Pay,1743.08,2026-02-18 13:21:16.226752
199,199,PayPal,14183.95,2025-08-02 04:58:51.874733
200,200,Debit Card,1846.86,2026-02-19 15:24:53.161982
201,201,Apple Pay,5188.46,2025-08-29 21:40:38.189942
202,202,Google Pay,2060.53,2025-11-01 04:43:19.557666
203,203,Apple Pay,1884.95,2025-09-09 18:52:49.952816
204,204,Apple Pay,3614.93,2025-11-16 18:25:36.344760
205,205,Debit Card,13955.97,2026-01-16 10:08:21.654330
206,206,PayPal,8997.86,2026-02-23 03:28:39.789842
207,207,Credit Card,2982.4,2026-01-28 11:02:46.361427
208,208,Google Pay,2724.7,2025-09-27 13:03:37.608660
209,209,Credit Card,4636.89,2026-02-03 06:07:50.632698
210,210,Debit Card,19005.92,2025-10-13 16:43:49.819206
211,211,Credit Card,9616.64,2025-12-28 09:07:10.696921
212,212,Credit Card,7793.89,2025-08-25 09:21:32.142774
213,213,Google Pay,13813.36,2025-10-23 01:34:03.157525
214,214,Credit Card,5031.86,2026-01-30 18:37:18.505711
215,215,Apple Pay,7574.18,2026-02-23 14:15:35.535231
216,216,Google Pay,732.4,2026-04-15 22:15:49.082419
217,217,Google Pay,6572.97,2026-07-21 03:13:34.831838
218,218,Apple Pay,11852.14,2026-01-09 03:09:40.981708
219,219,Debit Card,5399.49,2025-12-06 19:37:08.134187
220,220,Apple Pay,3830.12,2026-03-12 03:34:54.519235
221,221,Google Pay,3597.54,2026-01-03 05:45:11.728250
222,222,Debit Card,16213.57,2025-09-20 13:15:50.829763
223,223,Apple Pay,22230.81,2026-05-07 22:17:37.858079
224,224,PayPal,7462.94,2026-03-03 09:51:42.244119
225,225,Debit Card,4805.82,2026-07-21 05:20:36.970155
226,226,Apple Pay,10694.19,2026-07-08 15:51:29.766048
227,227,PayPal,4822.86,2025-12-25 19:39:25.513620
228,228,Google Pay,6265.71,2025-08-18 10:40:05.287916
229,229,PayPal,6443.34,2025-11-23 02:18:34.355977
230,230,Google Pay,6088.62,2025-09-05 02:21:25.981872
231,231,Google Pay,1007.34,2025-11-14 18:35:48.581293
232,232,Apple Pay,354.99,2026-04-12 08:24:32.018903
233,233,Google Pay,9954.32,2026-05-28 11:24:45.757291
234,234,Debit Card,7539.38,2025-11-16 05:22:01.514930
235,235,PayPal,13139.51,2026-05-03 19:55:04.560979
236,236,Debit Card,1407.81,2026-01-31 06:26:31.457281
237,237,Google Pay,4822.32,2025-10-01 16:32:46.288917
238,238,PayPal,5698.18,2025-12-20 08:08:11.042950
239,239,Apple Pay,9467.77,2026-01-14 07:49:43.356282
240,240,PayPal,14130.47,2025-08-23 15:08:21.048229
241,241,PayPal,871.54,2026-03-24 23:46:44.022371
242,242,Debit Card,2705.56,2026-03-19 08:26:11.352575
243,243,Debit Card,469.27,2025-09-21 20:29:13.073629
244,244,Debit Card,6673.7,2026-07-13 13:12:50.235902
245,245,Google Pay,11536.58,2025-11-19 08:39:01.284312
246,246,Credit Card,6033.95,2025-08-25 10:03:37.648414
247,247,PayPal,7385.95,2026-02-09 09:14:16.817684
248,248,PayPal,7914.48,2026-05-21 12:55:24.446643
249,249,Google Pay,5059.75,2026-01-05 19:31:56.464847
250,250,Google Pay,12245.17,2026-05-31 11:29:14.589507
251,251,PayPal,18266.25,2026-03-17 12:40:19.526607
252,252,Debit Card,17249.49,2026-03-21 12:44:15.741980
253,253,PayPal,11109.98,2025-12-22 16:22:27.485996
254,254,PayPal,4706.75,2026-04-15 09:56:13.978339
255,255,PayPal,1526.14,2025-11-23 01:06:29.554118
256,256,Debit Card,4614.61,2026-05-17 14:39:04.896255
257,257,Credit Card,18755.86,2026-04-24 21:32:25.642773
258,258,Apple Pay,4972.64,2026-01-13 05:31:01.035608
259,259,Debit Card,13420.79,2026-05-01 03:21:09.214462
260,260,Apple Pay,7524.41,2026-07-25 12:04:37.121426
261,261,Credit Card,6618.33,2025-11-13 20:24:35.389292
262,262,PayPal,11939.55,2025-10-23 03:22:19.651101
263,263,Google Pay,8862.35,2025-10-08 01:06:41.849530
264,264,Credit Card,8170.51,2025-10-26 19:00:49.188879
265,265,Google Pay,14731.82,2026-03-26 21:16:03.766600
266,266,Google Pay,7236.33,2026-07-21 06:44:36.411153
267,267,Google Pay,3602.36,2026-05-13 17:08:23.045072
268,268,Google Pay,9848.34,2025-10-29 09:55:09.403696
269,269,PayPal,14539.11,2025-09-20 16:57:26.756925
270,270,Google Pay,9314.88,2025-08-07 20:41:13.647098
271,271,Credit Card,10359.77,2026-03-08 15:45:30.245183
272,272,PayPal,9200.66,2025-11-07 00:58:40.205977
273,273,Debit Card,15185.05,2026-02-01 19:45:14.348590
274,274,Apple Pay,1901.08,2026-04-30 13:58:05.335706
275,275,Apple Pay,12766.0,2025-08-23 00:56:27.832968
276,276,Debit Card,6775.82,2025-08-07 07:37:41.876410
277,277,Credit Card,3432.2,2025-10-13 02:34:20.362352
278,278,Credit Card,3338.01,2025-10-07 10:38:22.195205
279,279,Apple Pay,17181.29,2025-12-21 16:34:22.675122
280,280,Google Pay,7351.3,2026-03-27 03:38:56.671003
281,281,Debit Card,9013.52,2025-10-07 02:47:08.063142
282,282,PayPal,5094.41,2025-12-20 22:42:33.800132
283,283,Google Pay,14169.89,2026-02-25 18:34:23.256584
284,284,Apple Pay,3893.82,2026-04-19 02:51:07.875302
285,285,PayPal,5153.6,2025-10-06 12:00:42.643239
286,286,Credit Card,12343.81,2026-05-19 05:58:53.359838
287,287,PayPal,12407.64,2025-09-22 00:24:01.974937
288,288,Credit Card,10452.63,2026-03-14 05:46:10.844180
289,289,Apple Pay,5939.06,2026-07-06 13:50:46.477153
290,290,Apple Pay,13489.8,2026-06-30 00:32:33.988575
291,291,Debit Card,18524.59,2026-07-14 21:56:03.173470
292,292,Debit Card,271.86,2025-10-17 09:45:55.502828
293,293,Debit Card,2562.02,2026-04-04 05:41:13.177902
294,294,Credit Card,22393.78,2026-07-13 02:55:41.546390
295,295,PayPal,556.61,2025-12-01 15:40:19.846730
296,296,Credit Card,2402.91,2026-05-31 04:50:43.498779
297,297,Google Pay,4358.38,2025-09-12 14:20:36.211046
298,298,PayPal,1094.46,2026-02-25 18:53:14.061410
299,299,Credit Card,15302.7,2026-07-19 23:51:21.019890
300,300,Credit Card,14648.19,2026-03-21 20:40:20.158715
301,301,Credit Card,17581.27,2026-05-31 22:32:49.605386
302,302,Credit Card,8083.6,2026-05-30 18:44:54.003990
303,303,Google Pay,9567.33,2026-03-14 19:30:10.836352
304,304,Google Pay,10527.05,2026-05-14 15:50:31.936244
305,305,Credit Card,5704.91,2025-08-19 16:53:36.682255
306,306,Debit Card,9893.96,2026-02-14 23:50:50.529721
307,307,Apple Pay,11412.75,2026-02-06 12:45:23.053113
308,308,Google Pay,4515.3,2025-11-28 04:06:22.234947
309,309,Google Pay,3634.05,2025-08-09 23:18:30.087282
310,310,Google Pay,8584.74,2025-09-29 20:31:56.267384
311,311,Apple Pay,5397.63,2026-07-05 11:55:18.530659
312,312,Google Pay,349.4,2026-01-24 02:52:16.898524
313,313,PayPal,9176.04,2025-12-06 23:18:14.495394
314,314,Debit Card,8499.69,2025-08-06 01:14:47.737624
315,315,PayPal,5900.44,2025-08-28 02:12:14.057231
316,316,Google Pay,181.24,2026-05-18 21:27:23.679095
317,317,Debit Card,7658.18,2026-06-30 22:43:41.403467
318,318,Credit Card,17086.47,2026-04-03 18:33:37.922950
319,319,PayPal,1292.57,2025-08-28 12:09:41.614211
320,320,PayPal,14017.18,2026-02-28 19:14:50.972297
321,321,Debit Card,1700.72,2026-05-04 11:33:06.459749
322,322,PayPal,7918.5,2025-11-12 21:38:31.567215
323,323,PayPal,17662.88,2025-11-14 15:23:42.889828
324,324,Debit Card,10109.01,2025-09-18 19:30:52.029804
325,325,PayPal,263.1,2025-10-02 07:08:35.710999
326,326,PayPal,14288.22,2026-01-20 22:58:07.273529
327,327,Debit Card,2060.53,2026-04-03 02:17:36.426419
328,328,Google Pay,14581.87,2025-11-27 23:54:56.453347
329,329,Credit Card,20427.86,2026-08-01 19:43:59.049867
330,330,Google Pay,14696.06,2026-07-21 13:43:22.546716
331,331,Apple Pay,664.17,2026-06-07 23:18:03.087581
332,332,PayPal,11781.87,2026-02-23 08:38:52.838574
333,333,Credit Card,12641.44,2026-05-31 07:32:52.757763
334,334,Debit Card,7687.06,2026-06-30 17:43:17.086587
335,335,Google Pay,1413.29,2025-10-08 11:33:18.657698
336,336,Google Pay,8673.64,2026-06-14 19:22:26.919367
337,337,Google Pay,19551.62,2025-12-08 03:29:25.121176
338,338,Debit Card,17099.35,2025-09-09 00:30:33.921035
339,339,Debit Card,5514.53,2026-01-25 04:17:01.130373
340,340,PayPal,118.33,2026-06-07 00:03:01.489352
341,341,Debit Card,5375.4,2026-02-25 19:32:39.769117
342,342,Apple Pay,87.7,2026-06-07 16:15:28.039348
343,343,Apple Pay,9051.55,2025-08-26 19:49:50.317197
344,344,PayPal,4412.07,2025-11-08 09:18:48.529721
345,345,Apple Pay,7169.67,2025-12-11 08:33:00.937112
346,346,Apple Pay,3808.5,2025-12-03 08:55:50.595681
347,347,PayPal,7838.03,2025-10-24 20:24:13.150062
348,348,Google Pay,2384.83,2025-11-24 00:55:58.817857
349,349,Apple Pay,3805.66,2026-05-16 09:18:50.477816
350,350,PayPal,7209.76,2025-09-13 18:27:27.339924
351,351,Google Pay,6166.81,2025-12-11 22:04:11.320919
352,352,Apple Pay,2203.19,2025-09-08 10:22:10.513548
353,353,Apple Pay,5736.84,2026-03-25 04:25:43.062543
354,354,Debit Card,13342.9,2026-01-11 09:24:29.416240
355,355,Debit Card,1264.86,2026-06-17 05:26:55.120222
356,356,Google Pay,15833.35,2025-11-12 14:02:35.323613
357,357,Debit Card,364.82,2026-06-05 06:06:39.744035
358,358,Credit Card,2529.46,2025-10-26 21:45:27.387605
359,359,Google Pay,354.99,2025-10-13 01:55:17.629105
360,360,Debit Card,6608.81,2026-01-10 15:35:00.708267
361,361,Google Pay,15080.56,2025-08-10 16:31:43.438154
362,362,PayPal,7534.43,2026-06-08 01:13:19.391952
363,363,Debit Card,8452.63,2025-12-29 17:06:55.932657
364,364,PayPal,263.1,2025-09-09 16:05:48.784057
365,365,Apple Pay,7234.29,2026-06-03 00:06:54.023626
366,366,Apple Pay,7937.49,2026-03-03 12:09:57.282671
367,367,Apple Pay,10921.31,2026-01-10 02:30:10.028597
368,368,Apple Pay,2422.7,2026-02-28 03:26:56.265794
369,369,Debit Card,1946.83,2026-04-14 05:45:40.889283
370,370,PayPal,13895.67,2026-05-08 00:52:52.975703
371,371,Credit Card,5401.47,2026-05-13 16:23:41.008594
372,372,Credit Card,2060.53,2026-02-02 07:38:08.548238
373,373,Apple Pay,13255.74,2025-11-03 18:44:02.885494
374,374,Apple Pay,3190.04,2025-12-24 07:26:58.300646
375,375,Credit Card,4007.7,2025-09-11 10:02:25.716103
376,376,Debit Card,6304.99,2026-01-29 03:52:26.956620
377,377,PayPal,11058.36,2026-02-07 10:57:22.854625
378,378,Google Pay,5389.31,2026-04-26 10:15:35.773349
379,379,Credit Card,7681.98,2026-06-27 05:32:36.080790
380,380,Debit Card,18350.37,2025-10-25 08:52:17.234921
381,381,Google Pay,19502.6,2026-05-25 20:59:25.136621
382,382,Credit Card,11247.36,2026-06-30 12:15:43.280365
383,383,Apple Pay,4805.82,2025-09-23 18:04:46.679953
384,384,Credit Card,10063.95,2026-02-15 00:07:34.371228
385,385,Google Pay,1174.24,2026-02-12 06:07:24.870829
386,386,Google Pay,4412.88,2026-04-27 04:40:55.711655
387,387,Credit Card,3882.4,2026-06-01 02:35:37.962122
388,388,Google Pay,14566.3,2025-10-04 09:30:04.115556
389,389,Credit Card,7233.48,2026-03-10 01:50:44.368833
390,390,PayPal,3324.62,2025-09-19 19:30:48.212792
391,391,Apple Pay,9248.16,2025-11-22 18:33:30.430651
392,392,Debit Card,21354.28,2026-06-24 18:17:51.458109
393,393,Credit Card,13487.73,2026-06-25 19:47:22.222433
394,394,Credit Card,1231.24,2026-01-12 21:00:18.899795
395,395,Google Pay,5148.3,2025-11-14 14:27:41.462447
396,396,PayPal,793.48,2026-01-23 16:32:10.373653
397,397,Debit Card,4410.71,2025-12-11 14:10:59.348133
398,398,Credit Card,1273.52,2025-11-08 06:42:55.840860
399,399,Credit Card,6650.22,2025-10-31 04:57:20.739854
400,400,Debit Card,13918.21,2025-12-13 10:37:26.037338
401,401,Google Pay,6565.15,2026-04-19 17:33:34.959115
402,402,PayPal,4822.86,2026-05-14 05:44:32.646535
403,403,Google Pay,13215.06,2025-11-23 23:01:17.307768
404,404,PayPal,7022.14,2026-05-29 21:18:36.823739
405,405,Google Pay,11372.65,2026-07-27 04:01:01.318631
406,406,Google Pay,12019.35,2025-11-30 23:36:43.417979
407,407,Google Pay,5689.67,2025-12-10 10:29:08.670029
408,408,Debit Card,15590.88,2026-07-27 07:07:40.290400
409,409,Apple Pay,11201.97,2025-10-17 04:08:54.691069
410,410,PayPal,11412.15,2025-08-23 06:42:08.454580
411,411,Credit Card,2671.8,2025-11-11 11:31:12.848701
412,412,PayPal,1007.34,2026-04-13 23:09:43.112641
413,413,Debit Card,4007.7,2026-04-21 17:00:38.367925
414,414,Apple Pay,5961.86,2025-10-29 21:21:26.678281
415,415,Credit Card,3733.37,2025-09-09 11:16:47.212534
416,416,PayPal,4279.56,2026-04-17 09:56:54.099114
417,417,Apple Pay,7483.95,2025-11-23 00:00:43.503870
418,418,Google Pay,5395.61,2025-10-30 03:46:19.976400
419,419,Credit Card,12539.68,2026-05-11 21:01:13.639396
420,420,Credit Card,1447.41,2025-09-30 10:39:05.071375
421,421,Credit Card,3310.42,2025-08-12 07:44:05.980130
422,422,PayPal,4867.4,2026-07-02 02:05:13.742088
423,423,Apple Pay,5604.78,2026-05-19 13:44:12.711422
424,424,Google Pay,90.62,2026-05-18 17:48:02.183287
425,425,PayPal,10990.35,2026-07-29 17:13:33.694884
426,426,Apple Pay,4102.16,2025-08-02 11:40:10.678242
427,427,Debit Card,3794.09,2026-06-01 06:54:51.929780
428,428,PayPal,729.64,2026-01-21 18:27:29.354496
429,429,Credit Card,8875.88,2025-12-04 11:50:34.201936
430,430,Credit Card,6004.42,2025-10-28 18:22:16.293724
431,431,Debit Card,11052.51,2025-09-10 19:41:48.247604
432,432,Credit Card,13125.06,2026-04-11 23:21:43.369589
433,433,Credit Card,20481.69,2026-04-03 16:38:45.257063
434,434,Google Pay,14959.15,2026-06-25 12:04:32.395454
435,435,PayPal,592.91,2025-08-22 01:32:58.844045
436,436,PayPal,9063.12,2026-01-17 21:18:14.733003
437,437,PayPal,2801.16,2026-04-13 11:06:56.794074
438,438,Credit Card,5374.93,2025-10-27 21:41:27.345074
439,439,Debit Card,7085.68,2025-11-02 23:03:38.534785
440,440,Apple Pay,2754.44,2025-12-09 22:47:53.374794
441,441,Debit Card,4293.46,2026-02-16 15:50:13.293458
442,442,Debit Card,8871.77,2025-09-25 16:52:02.140733
443,443,PayPal,8863.61,2026-02-10 23:19:29.255791
444,444,Google Pay,13115.92,2025-09-08 17:52:12.689137
445,445,Debit Card,4088.36,2026-02-21 09:11:23.800484
446,446,PayPal,6341.42,2026-01-04 00:36:06.754402
447,447,Credit Card,5842.59,2025-08-09 06:08:21.714818
448,448,Credit Card,16946.21,2025-08-29 17:00:07.150240
449,449,Google Pay,4406.38,2026-03-01 07:00:46.410470
450,450,Credit Card,4162.33,2025-09-08 04:08:13.543596
451,451,Credit Card,3432.2,2026-03-07 19:39:09.996637
