2026-07-30 01:41:13,685 | INFO | ============================================================
2026-07-30 01:45:09,004 | INFO | Starting ETL Pipeline for customers.csv
2026-07-30 01:45:09,004 | INFO | ============================================================
2026-07-30 01:45:09,004 | INFO | Reading data/raw/customers.csv
2026-07-30 01:45:09,006 | INFO | Validating dataset
2026-07-30 01:45:09,006 | INFO | Removing duplicates
2026-07-30 01:45:09,007 | INFO | Replacing null values
2026-07-30 01:45:09,007 | INFO | Processing 1000 records
2026-07-30 09:31:18,922 | INFO | ============================================================
2026-07-30 09:31:18,922 | INFO | Starting ETL Pipeline for categories.csv
2026-07-30 09:31:18,922 | INFO | ============================================================
2026-07-30 09:31:18,924 | INFO | Validating dataset
2026-07-30 09:31:18,930 | INFO | Removing duplicates
2026-07-30 09:31:18,930 | INFO | Replacing null values
2026-07-30 09:31:18,930 | INFO | Processing 10 records
2026-07-30 09:31:18,973 | INFO | categories.csv loaded successfully!
2026-07-30 09:31:18,973 | INFO | ============================================================
2026-07-30 09:31:18,973 | INFO | ============================================================
2026-07-30 09:31:18,973 | INFO | Starting ETL Pipeline for suppliers.csv
2026-07-30 09:31:18,973 | INFO | ============================================================
2026-07-30 09:31:18,975 | INFO | Validating dataset
2026-07-30 09:31:18,976 | INFO | Removing duplicates
2026-07-30 09:31:18,976 | INFO | Replacing null values
2026-07-30 09:31:18,976 | INFO | Processing 200 records
2026-07-30 09:31:19,001 | INFO | suppliers.csv loaded successfully!
2026-07-30 09:31:19,001 | INFO | ============================================================
2026-07-30 09:31:19,001 | INFO | ============================================================
2026-07-30 09:31:19,001 | INFO | Starting ETL Pipeline for stores.csv
2026-07-30 09:31:19,001 | INFO | ============================================================
2026-07-30 09:31:19,002 | INFO | Validating dataset
2026-07-30 09:31:19,002 | INFO | Removing duplicates
2026-07-30 09:31:19,003 | INFO | Replacing null values
2026-07-30 09:31:19,003 | INFO | Processing 10 records
2026-07-30 09:31:19,008 | INFO | stores.csv loaded successfully!
2026-07-30 09:31:19,008 | INFO | ============================================================
2026-07-30 09:31:19,008 | INFO | ============================================================
2026-07-30 09:31:19,008 | INFO | Starting ETL Pipeline for customers.csv
2026-07-30 09:31:19,008 | INFO | ============================================================
2026-07-30 09:31:19,010 | INFO | Validating dataset
2026-07-30 09:31:19,011 | INFO | Removing duplicates
2026-07-30 09:31:19,012 | INFO | Replacing null values
2026-07-30 09:31:19,012 | INFO | Processing 1000 records
2026-07-30 09:31:19,077 | INFO | customers.csv loaded successfully!
2026-07-30 09:31:19,078 | INFO | ============================================================
2026-07-30 09:31:19,078 | INFO | ============================================================
2026-07-30 09:31:19,078 | INFO | Starting ETL Pipeline for products.csv
2026-07-30 09:31:19,078 | INFO | ============================================================
2026-07-30 09:31:19,080 | INFO | Validating dataset
2026-07-30 09:31:19,081 | INFO | Removing duplicates
2026-07-30 09:31:19,082 | INFO | Replacing null values
2026-07-30 09:31:19,082 | INFO | Processing 40 records
2026-07-30 09:31:19,090 | INFO | products.csv loaded successfully!
2026-07-30 09:31:19,090 | INFO | ============================================================
2026-07-30 09:31:19,090 | INFO | ============================================================
2026-07-30 09:31:19,090 | INFO | Starting ETL Pipeline for inventory.csv
2026-07-30 09:31:19,090 | INFO | ============================================================
2026-07-30 09:31:19,091 | INFO | Validating dataset
2026-07-30 09:31:19,091 | INFO | Removing duplicates
2026-07-30 09:31:19,091 | INFO | Replacing null values
2026-07-30 09:31:19,091 | INFO | Processing 400 records
2026-07-30 09:31:19,108 | INFO | inventory.csv loaded successfully!
2026-07-30 09:31:19,108 | INFO | ============================================================
2026-07-30 09:31:19,109 | INFO | ============================================================
2026-07-30 09:31:19,109 | INFO | Starting ETL Pipeline for orders.csv
2026-07-30 09:31:19,109 | INFO | ============================================================
2026-07-30 09:31:19,112 | INFO | Validating dataset
2026-07-30 09:31:19,113 | INFO | Removing duplicates
2026-07-30 09:31:19,114 | INFO | Replacing null values
2026-07-30 09:31:19,114 | INFO | Processing 5000 records
2026-07-30 09:31:19,389 | INFO | orders.csv loaded successfully!
2026-07-30 09:31:19,389 | INFO | ============================================================
2026-07-30 09:31:19,391 | INFO | ============================================================
2026-07-30 09:31:19,391 | INFO | Starting ETL Pipeline for order_items.csv
2026-07-30 09:31:19,392 | INFO | ============================================================
2026-07-30 09:31:19,395 | INFO | Validating dataset
2026-07-30 09:31:19,396 | INFO | Removing duplicates
2026-07-30 09:31:19,397 | INFO | Replacing null values
2026-07-30 09:31:19,398 | INFO | Processing 15099 records
2026-07-30 09:31:20,119 | INFO | order_items.csv loaded successfully!
2026-07-30 09:31:20,119 | INFO | ============================================================
2026-07-30 09:31:20,126 | INFO | ============================================================
2026-07-30 09:31:20,126 | INFO | Starting ETL Pipeline for payments.csv
2026-07-30 09:31:20,127 | INFO | ============================================================
2026-07-30 09:31:20,130 | INFO | Validating dataset
2026-07-30 09:31:20,132 | INFO | Removing duplicates
2026-07-30 09:31:20,133 | INFO | Replacing null values
2026-07-30 09:31:20,133 | INFO | Processing 5000 records
2026-07-30 09:31:20,354 | INFO | payments.csv loaded successfully!
2026-07-30 09:31:20,354 | INFO | ============================================================
2026-07-30 09:31:20,356 | INFO | ============================================================
2026-07-30 09:31:20,356 | INFO | Starting ETL Pipeline for shipping.csv
2026-07-30 09:31:20,356 | INFO | ============================================================
2026-07-30 09:31:20,362 | INFO | Validating dataset
2026-07-30 09:31:20,364 | INFO | Removing duplicates
2026-07-30 09:31:20,366 | INFO | Replacing null values
2026-07-30 09:31:20,367 | INFO | Processing 5000 records
2026-07-30 09:31:20,736 | INFO | shipping.csv loaded successfully!
2026-07-30 09:31:20,736 | INFO | ============================================================
